method,ID,LOO-long,SameTask-long,DiffTask-long,1ds-Diff-long,mean_ood,delta_vs_saplma,delta_vs_saplma_attention
CAWSA lambda=2,0.5079448895417688,0.20958113711981255,0.20813130181016282,0.18265211012944493,0.2092898980514703,0.20241361177772266,-0.043309653203449816,-0.044564757906358055
CAWSA lambda=2 + SAPLMA,0.5860404766403362,0.27147546965816727,0.31886006472252443,0.22938893673947602,0.2644166014045629,0.27103526813118267,0.0253120031500102,0.02405689844710196
SAPLMA,0.5818592228137709,0.24578347458012328,0.3201074129063214,0.19522922666397358,0.22177294577427165,0.24572326498117247,0.0,-0.0012551047029082385
SAPLMA + attention pooling,0.5970108815997057,0.2625987426209203,0.31714156599217713,0.20209232417085937,0.206080845952366,0.2469783696840807,0.0012551047029082385,0.0
attention pooling,0.5648030894763992,0.23023794776774997,0.2632875393828499,0.1702520342086896,0.16462282404150222,0.20710008635019792,-0.03862317863097456,-0.0398782833338828
